run_index,drill_id,family,seed,driver,passed,infrastructure_error,final_state,failed_invariants,unmet_expectations,faults_injected,tool_calls,tool_denials,duplicate_receipts,model_calls,wall_clock_s,committed,quarantined,unresolved,in_flight,total_containers,error
49,D7,recovery,20261028,scripted,True,False,CLOSED,,,1,105,0,0,0,0.6,42,0,0,0,42,
50,D8,safety,20261028,scripted,True,False,RECONCILING,,,0,146,0,0,0,0.9,0,0,42,0,42,
51,D9,memory,20261028,scripted,True,False,CLOSED,,,0,105,0,0,0,0.99,42,0,0,0,42,
52,D10,security,20261028,scripted,True,False,RECONCILING,,,0,106,2,0,0,0.46,0,0,0,42,42,
53,D11,security,20261028,scripted,True,False,CAPACITY_RESERVED,,,0,14,2,0,0,0.07,0,0,0,42,42,
54,D12,idempotency,20261028,scripted,True,False,CLOSED,,,0,106,0,1,0,0.67,42,0,0,0,42,
55,D13,partial,20261028,scripted,True,False,RECONCILING,,,0,100,0,0,0,0.76,40,0,0,2,42,
56,D14,partial,20261028,scripted,True,False,RECONCILING,,,0,104,0,0,0,0.6,41,0,0,1,42,
57,D15,availability,20261028,scripted,True,False,CONTAINED,,,3,8,0,0,0,0.05,0,0,0,42,42,
58,D16,governance,20261028,scripted,True,False,RESCUE_PLANNING,,,0,33,0,0,0,0.2,0,0,0,42,42,
59,D17,availability,20261028,scripted,True,False,RESCUE_PLANNING,,,2,9,0,0,0,0.06,0,0,0,42,42,
60,D18,recovery,20261028,scripted,True,False,CLOSED,,,0,105,0,0,0,0.69,42,0,0,0,42,
61,H1,idempotency,20261028,scripted,True,False,CLOSED,,,1,105,0,0,0,0.74,42,0,0,0,42,
62,H2,safety,20261028,scripted,True,False,CLOSED,,,0,106,0,0,0,0.65,42,0,0,0,42,
63,H3,partial,20261028,scripted,True,False,RECONCILING,,,0,105,0,0,0,0.74,41,0,0,1,42,
64,D1,signal,20261129,scripted,True,False,OBSERVING,,,0,3,0,0,0,0.03,0,0,0,0,0,
65,D2,core,20261129,scripted,True,False,CLOSED,,,0,105,0,0,0,0.7,42,0,0,0,42,
66,D3,idempotency,20261129,scripted,True,False,CAPACITY_RESERVED,,,0,12,0,0,0,0.08,0,0,0,42,42,
67,D4,concurrency,20261129,scripted,True,False,CLOSED,,,0,106,0,0,0,0.65,42,0,0,0,42,
68,D5,idempotency,20261129,scripted,True,False,CLOSED,,,1,107,0,0,0,0.72,42,0,0,0,42,
69,D6,idempotency,20261129,scripted,True,False,CLOSED,,,1,105,0,0,0,0.73,42,0,0,0,42,
70,D7,recovery,20261129,scripted,True,False,CLOSED,,,1,105,0,0,0,0.66,42,0,0,0,42,
71,D8,safety,20261129,scripted,True,False,RECONCILING,,,0,146,0,0,0,0.95,0,0,42,0,42,
72,D9,memory,20261129,scripted,True,False,CLOSED,,,0,105,0,0,0,0.85,42,0,0,0,42,
73,D10,security,20261129,scripted,True,False,RECONCILING,,,0,106,2,0,0,0.57,0,0,0,42,42,
74,D11,security,20261129,scripted,True,False,CAPACITY_RESERVED,,,0,14,2,0,0,0.08,0,0,0,42,42,
75,D12,idempotency,20261129,scripted,True,False,CLOSED,,,0,106,0,1,0,0.72,42,0,0,0,42,
76,D13,partial,20261129,scripted,True,False,RECONCILING,,,0,100,0,0,0,0.72,40,0,0,2,42,
77,D14,partial,20261129,scripted,True,False,RECONCILING,,,0,104,0,0,0,0.75,41,0,0,1,42,
78,D15,availability,20261129,scripted,True,False,CONTAINED,,,3,8,0,0,0,0.05,0,0,0,42,42,
79,D16,governance,20261129,scripted,True,False,RESCUE_PLANNING,,,0,29,0,0,0,0.17,0,0,0,42,42,
80,D17,availability,20261129,scripted,True,False,RESCUE_PLANNING,,,2,9,0,0,0,0.07,0,0,0,42,42,
81,D18,recovery,20261129,scripted,True,False,CLOSED,,,0,105,0,0,0,0.71,42,0,0,0,42,
82,H1,idempotency,20261129,scripted,True,False,CLOSED,,,1,105,0,0,0,0.77,42,0,0,0,42,
83,H2,safety,20261129,scripted,True,False,CLOSED,,,0,106,0,0,0,0.73,42,0,0,0,42,
84,H3,partial,20261129,scripted,True,False,RECONCILING,,,0,105,0,0,0,0.8,41,0,0,1,42,
85,D1,signal,20261230,scripted,True,False,OBSERVING,,,0,3,0,0,0,0.03,0,0,0,0,0,
86,D2,core,20261230,scripted,True,False,CLOSED,,,0,105,0,0,0,0.7,42,0,0,0,42,
87,D3,idempotency,20261230,scripted,True,False,CAPACITY_RESERVED,,,0,12,0,0,0,0.1,0,0,0,42,42,
88,D4,concurrency,20261230,scripted,True,False,CLOSED,,,0,106,0,0,0,0.9,42,0,0,0,42,
